Country,Use,Count,Total,Proportion
Bulgaria,Commercial,1,1,1
Canada,Commercial,29,43,0.67
Chile,Commercial,1,1,1
China,Commercial,107,405,0.26
Colombia,Commercial,0,1,0
Czech Republic,Commercial,2,3,0.67
Denmark,Commercial,1,5,0.2
Ecuador,Commercial,0,1,0
Egypt,Commercial,0,5,0
Estonia,Commercial,0,1,0
Ethiopia,Commercial,0,2,0
Finland,Commercial,6,8,0.75
France,Commercial,1,13,0.08
Germany,Commercial,11,40,0.28
Greece,Commercial,2,2,1
India,Commercial,1,60,0.02
Indonesia,Commercial,6,9,0.67
Iran,Commercial,0,2,0
Iraq,Commercial,0,1,0
Israel,Commercial,3,16,0.19
Italy,Commercial,2,13,0.15
Japan,Commercial,30,82,0.37
Jordan,Commercial,0,1,0
Kazakhstan,Commercial,3,6,0.5
Laos,Commercial,0,1,0
Lithuania,Commercial,2,3,0.67
Luxembourg,Commercial,36,36,1
Malaysia,Commercial,3,5,0.6
Mexico,Commercial,2,4,0.5
Morocco,Commercial,0,2,0
Multinational,Commercial,41,63,0.65
Nepal,Commercial,0,1,0
Netherlands,Commercial,9,12,0.75
Nigeria,Commercial,1,3,0.33
Norway,Commercial,3,7,0.43
Pakistan,Commercial,0,3,0
Peru,Commercial,0,1,0
Philippines,Commercial,0,2,0
Poland,Commercial,1,2,0.5
Qatar,Commercial,0,1,0
Russia,Commercial,40,174,0.23
Saudi Arabia,Commercial,7,13,0.54
Singapore,Commercial,2,8,0.25
Slovenia,Commercial,0,2,0
South Africa,Commercial,0,3,0
South Korea,Commercial,3,17,0.18
Spain,Commercial,10,20,0.5
Sri Lanka,Commercial,0,1,0
Sudan,Commercial,0,1,0
Sweden,Commercial,1,2,0.5
Switzerland,Commercial,4,5,0.8
Taiwan,Commercial,0,1,0
Thailand,Commercial,3,6,0.5
Turkey,Commercial,3,7,0.43
Ukraine,Commercial,0,1,0
United Arab Emirates,Commercial,3,10,0.3
UK,Commercial,157,166,0.95
USA,Commercial,1477,1877,0.79
Venezuela,Commercial,0,2,0
Vietnam,Commercial,0,4,0
Global,Civil,151,3253,0.05
Global,Military,503,3253,0.15
Global,Government,542,3253,0.17
Global,Commercial,2057,3253,0.63
